"","Group1","Group2","Group1Participant","Group2Participant","Condition","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","RR.RE","DET.RE","NRLINE.RE","maxL.RE","L.RE","ENTR.RE","rENTR.RE","LAM.RE","TT.RE"
"95",10,21,2,1,1,8.44290126214048,99.1468499678648,14540,236,17.3999312242091,3.12218616527398,0.584423590516767,99.6637562114966,26.1882401400474,2.58458545817136,67.4491671112692,17767,23,3.20200371475207,1.50409790455941,0.520382162069772,93.3617878949552,5.31851951911387
"98",10,22,1,2,1,1.79324050095861,97.0927961609285,6097,155,8.56158766606528,2.57208725949816,0.562240384493016,98.5287279355691,10.5986394557823,2.02661972700883,70.4674976381312,14972,13,3.0887656959658,1.44064024849571,0.57975628525869,73.0655532868071,3.0845931167578
"99",10,22,2,1,1,2.87562889998039,98.583756698448,7193,175,11.8160711803142,2.93660416964799,0.607202852552295,99.3411742872387,14.119024068579,1.75804459267494,46.5702893077342,10465,11,2.53339703774486,0.989755882930726,0.429845518388095,61.2130899892849,2.68681572860447
"102",10,26,1,2,1,3.97409875458799,97.3979459998678,17204,191,9.42089049058358,2.64755948916779,0.53423161429876,98.8780520050238,12.5651011836579,6.94273926474365,95.2576410216788,57664,54,5.13136445615982,2.26721028261549,0.582557803019878,97.7693431972855,6.38985440161589
"103",10,26,2,1,1,3.40700152294241,98.9836044889634,6086,162,23.2025961222478,3.55258562070139,0.699992896802435,99.3319828124014,35.2507462686567,2.32251621718093,66.8941027022865,22607,37,3.0747556066705,1.40409897101896,0.39492588256767,94.0237893602279,5.62702297989979
"106",15,17,1,2,1,0.725331715242443,93.9399462341095,3445,73,5.98461538461538,2.17209521663647,0.534940451323848,96.099694719096,6.89473684210526,2.51326605823598,71.030837433624,16602,39,3.5129502469582,1.6765939456466,0.534714411887303,79.0264042480635,3.91097583026942
"107",15,17,2,1,1,2.31090215177005,97.6130886832659,8106,115,8.42018258080434,2.57912516878675,0.573163168609629,99.0932883314503,11.612032847327,4.96684403719149,84.8877768602172,32883,44,4.18891220387434,1.94518004580968,0.534744734666571,91.8066631333736,5.31716457864868
"110",15,21,1,2,1,1.5581707598717,97.3074554604718,4902,83,9.34822521419829,2.6181984944648,0.59748575550583,98.6346166096872,13.5739333722969,2.18622620799378,63.9217884925363,15016,15,3.03709376664891,1.40570056978787,0.532652532407398,74.2406615740416,3.17681281113177
"111",15,21,2,1,1,4.27349663801986,97.8569050550097,11973,187,10.5563350872797,2.69544704339419,0.54624810667184,99.4495157131907,17.21361565264,5.82021250320986,87.6321497767669,38758,52,4.29446823881521,1.96461846392931,0.544077298752729,94.5739617555387,5.4885724761672
"114",15,22,1,2,1,1.77262739102069,97.043936400414,6393,89,8.0672610667918,2.51541158488952,0.572406573919506,98.3366262113087,9.74291573452647,1.68433080106232,63.5235231564666,11062,17,3.13207376604592,1.46268229030093,0.540123772338342,72.2159070074438,3.17159191561317
"115",15,22,2,1,1,2.00060571857034,97.8726242080694,5893,163,9.96164941455965,2.72486080737259,0.572188425849321,99.0996998999667,12.9245488149598,2.41859675128158,52.0141983426755,15578,13,2.6150340223392,1.07174275875805,0.43130101440611,56.9363755921296,2.64593840859194
"118",15,26,1,2,1,2.73081222719521,97.8364102250168,11928,165,9.37902414486921,2.62798017490609,0.545192254672001,98.8709804367408,12.206434895271,5.71319946545829,86.1526123271326,55996,46,3.93276305450389,1.85715745459671,0.535862369979329,97.8455880914657,6.60107155110982
"119",15,26,2,1,1,1.75734228041102,96.4326968811578,8207,81,8.64627756792982,2.6013359409165,0.598861064961424,98.9101039614052,20.6009057458251,3.42427649905132,81.837525945459,35677,21,3.51430893853183,1.67417702302529,0.558854019701544,94.0335234912471,5.66761084228333
"122",17,21,1,2,1,2.80726656024493,97.5641354840216,8223,130,10.165511370546,2.78630812447949,0.611854073090719,98.4628492728588,13.7485332464146,2.05423189194177,63.6461704422869,13851,17,3.10952277813876,1.45451293054555,0.524604647951735,72.9899070502874,3.19923570179416
"123",17,21,2,1,1,1.98125299802622,96.0144208506979,7400,116,7.84567567567568,2.49369340464891,0.550168486850818,99.1648475226566,12.8153451592221,2.47955208874685,71.5739085722681,15652,24,3.73517761308459,1.78338367811006,0.585767953624807,94.2092505080679,5.38955035719288
"126",17,22,1,2,1,3.06047558146295,97.9224451471556,8541,156,10.6231120477696,2.77318988223809,0.576285045925567,98.58834194934,12.2222370885737,1.55020190895742,63.8860931857202,10415,15,3.10830532885262,1.4534244019361,0.550736198727442,71.6357823693091,3.08227901842575
"127",17,22,2,1,1,0.943902896612955,94.6985337859117,4646,73,5.82479552303056,2.25085095452067,0.549746344088608,98.5757777233439,9.1609756097561,1.70766030347528,50.1666069509137,10652,11,2.62889598197522,1.08444078201872,0.470966647581577,60.9871013973486,2.69029555871661
"130",17,26,1,2,1,6.07438442611552,98.6801635195639,18694,264,13.5583609714347,2.95651327933982,0.565179103682528,99.1886314969827,16.1387305207146,5.75153795330432,89.3521762228501,50367,51,4.60823555105525,2.11123191964446,0.584680120323875,97.9100099321687,6.82406761470352
"131",17,26,2,1,1,1.15603682895612,96.7615891330142,4353,92,10.8658396508155,2.75011474721586,0.638957517524097,98.8441553127941,20.7547250859107,2.10763370407175,68.6161216106903,18889,23,3.4578326009847,1.65402364444923,0.552126656661137,94.5897109960185,5.60118195956454
